timestamp,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime
1529507800,0,0,645147086940,92,79680208896,282624,237240320,0,0,0,1619249,109.82864379882812,0,68468736,305737728,305680384,12150359,0,0,2380570435139,345,79680208896,253952,31846400,0,0,0,4003658,310.77191162109375,0,1152106496,1184079872,1184038912,12230266,0,0,40027433082,2,79680208896,442368,2920448,0,0,0,2235083,139.34642028808594,0,83980288,86900736,86855680,12235480
1529507820,0,0,646887387761,94,79680208896,282624,237928448,0,0,0,1621595,127.2906265258789,0,68751360,306786304,306728960,12170364,0,0,2385360124373,344,79680208896,253952,31916032,0,0,0,4007124,249.5042266845703,0,1152106496,1184149504,1184108544,12250343,0,0,40083185113,4,79680208896,442368,2920448,0,0,0,2238174,226.06353759765625,0,83980288,86990848,86945792,12255533
1529507840,0,0,648361617323,97,79680208896,282624,238493696,0,0,0,1622408,53.85858154296875,0,69021696,307515392,307458048,12190369,0,0,2391808772570,353,79680208896,253952,32010240,0,0,0,4012677,304.046875,0,1152106496,1184116736,1184075776,12270300,0,0,40124900841,2,79680208896,442368,2920448,0,0,0,2240024,114.44226837158205,0,83984384,86994944,86949888,12275488
1529507860,0,0,650090999413,96,79680208896,282624,239165440,0,0,0,1625028,146.3925018310547,0,69287936,308572160,308514816,12210328,0,0,2402427629610,353,79680208896,253952,32157696,0,0,0,4022103,313.566162109375,0,1152106496,1184264192,1184223232,12290254,0,0,40179405612,3,79680208896,442368,2920448,0,0,0,2243677,247.54368591308597,0,83984384,87031808,86986752,12295542
1529507880,0,0,652628889689,95,79680208896,282624,240152576,0,0,0,1628670,137.45217895507812,0,69652480,309895168,309837824,12230341,0,0,2408979437907,347,79680208896,253952,32251904,0,0,0,4027729,298.5666809082031,0,1152106496,1184358400,1184317440,12310304,0,0,40273440241,3,79680208896,442368,2920448,0,0,0,2248899,168.59649658203125,0,83984384,86904832,86859776,12315514
1529507900,0,0,654491473935,94,79680208896,282624,240893952,0,0,0,1631013,118.54767608642578,0,69914624,310820864,310763520,12250284,0,0,2415595286412,342,79680208896,253952,32350208,0,0,0,4033402,293.9256286621094,0,1152106496,1184583680,1184542720,12330274,0,0,40312532400,2,79680208896,442368,2924544,0,0,0,2250758,117.00057220458984,0,83984384,86994944,86949888,12335477
1529507920,0,0,656259791102,95,79680208896,282624,241590272,0,0,0,1633617,140.04335021972656,0,70094848,311717888,311660544,12270271,0,0,2420916178968,348,79680208896,253952,32423936,0,0,0,4037242,251.5515899658203,0,1152106496,1184649216,1184608256,12350333,0,0,40412161911,3,79680208896,442368,2924544,0,0,0,2256231,185.5032196044922,0,83984384,86908928,86863872,12355532
1529507940,0,0,657601097301,92,79680208896,282624,242130944,0,0,0,1634977,94.01643371582031,0,70352896,312516608,312459264,12290323,0,0,2427867242611,357,79680208896,253952,32522240,0,0,0,4043399,316.6608581542969,0,1152106496,1184755712,1184714752,12370246,0,0,40469983987,3,79680208896,442368,2924544,0,0,0,2259897,213.82498168945312,0,83984384,86908928,86863872,12375550
1529507960,0,0,659830671697,96,79680208896,282624,242995200,0,0,0,1637742,119.35645294189452,0,70823936,313925632,313868288,12310384,0,0,2436425503172,348,79680208896,253952,32641024,0,0,0,4051329,323.0614318847656,0,1152106496,1184747520,1184706560,12390175,0,0,40529145791,3,79680208896,442368,2924544,0,0,0,2263543,202.1519317626953,0,83984384,86908928,86863872,12395507
1529507980,0,0,661624426563,97,79680208896,282624,243683328,0,0,0,1639733,108.67230987548828,0,71049216,314830848,314773504,12330338,0,0,2442087949382,361,79680208896,253952,32722944,0,0,0,4055684,277.76055908203125,0,1152106496,1184858112,1184817152,12410218,0,0,40566899839,2,79680208896,442368,2924544,0,0,0,2265395,117.19810485839844,0,83984384,86908928,86863872,12415543
